connection_ID, flightDate, price   , currency_code, planeType, maximumSeats, occupiedSeats
SW0001       , 2024-05-29, 10818.00, SGD          , 767-200  ,          260,           223
SW0001       , 2023-08-02,  5950.00, SGD          , A340-600 ,          330,           168
SW0002       , 2024-05-30, 11765.00, SGD          , 747-400  ,          385,           350
SW0002       , 2023-08-03, 10953.00, SGD          , 747-400  ,          385,           334
SW0011       , 2024-05-30,  2359.00, SGD          , 767-200  ,          260,           132
SW0011       , 2023-08-03,  4880.00, SGD          , A340-600 ,          330,           310
SW0012       , 2024-06-01,  4665.00, SGD          , 767-200  ,          260,           236
SW0012       , 2023-08-05,  2574.00, SGD          , 747-400  ,          385,           215
SW0058       , 2024-05-27,  6629.00, USD          , 767-200  ,          260,           200
SW0058       , 2023-07-31,  4996.00, USD          , 747-400  ,          385,           231
SW0059       , 2024-05-28,  4131.00, USD          , A340-600 ,          330,           161
SW0059       , 2023-08-01,  6053.00, USD          , A340-600 ,          330,           237
SW1537       , 2024-05-31,   893.00, USD          , A321-200 ,          150,            88
SW1537       , 2023-08-04,   805.00, USD          , 737-800  ,          140,            75
GA0322       , 2024-06-02,  1103.00, USD          , A320-200 ,          130,            93
GA0322       , 2023-08-05,  1611.00, USD          , A320-200 ,          130,           123
GA0017       , 2024-05-29,   462.00, USD          , A321-200 ,          150,           139
GA0017       , 2023-08-02,   478.00, USD          , 737-800  ,          140,           133
GA2678       , 2024-06-01,   473.00, USD          , A321-200 ,          150,           141
GA2678       , 2023-08-05,   473.00, USD          , A320-200 ,          130,           122
GA0015       , 2024-05-31,  1911.00, USD          , 767-200  ,          260,           137
GA0015       , 2023-08-04,  3117.00, USD          , 767-200  ,          260,           213
GA0018       , 2024-05-30,  3781.00, USD          , A380-800 ,          475,           446
GA0018       , 2023-08-03,  3823.00, USD          , 767-200  ,          260,           247
EA0400       , 2024-06-01,  5484.00, EUR          , A340-600 ,          330,           306
EA0400       , 2023-08-05,  2649.00, EUR          , 767-200  ,          260,           130
EA0401       , 2024-05-31,  3697.00, EUR          , 747-400  ,          385,           265
EA0401       , 2023-08-04,  4867.00, EUR          , A380-800 ,          475,           403
EA0402       , 2024-05-27,  4911.00, EUR          , 767-200  ,          260,           221
EA0402       , 2023-07-31,  3232.00, EUR          , 747-400  ,          385,           231
EA0403       , 2024-05-27,  2797.00, EUR          , A340-600 ,          330,           171
EA0403       , 2023-07-31,  2486.00, EUR          , 767-200  ,          260,           117
OC0407       , 2024-05-31,  5346.00, JPY          , 747-400  ,          385,           254
OC0407       , 2023-08-04,  4032.00, JPY          , A340-600 ,          330,           165
OC0408       , 2024-06-01,  8159.00, JPY          , A380-800 ,          475,           432
OC0408       , 2023-08-05,  6471.00, JPY          , 747-400  ,          385,           296
FA0788       , 2024-06-01,  7580.00, EUR          , 767-200  ,          260,           221
FA0788       , 2023-08-05,  8059.00, EUR          , A380-800 ,          475,           422
FA0789       , 2024-05-31,  8539.00, EUR          , A380-800 ,          475,           441
FA0789       , 2023-08-04,  5852.00, EUR          , A380-800 ,          475,           325
